"","Date received","Product","Sub-product","Issue","Sub-issue","Consumer complaint narrative","Company public response","Company","State","ZIP code","Tags","Consumer consent provided?","Submitted via","Date sent to company","Company response to consumer","Timely response?","Consumer disputed?","Complaint ID"
"3538",2013-08-20,"Debt collection","I do not know","Cont'd attempts collect debt not owed","Debt is not mine","Other","Other","Encore Capital Group","VA","23112","Other","Other","Postal mail",2013-08-20,"Closed with explanation","Yes","Yes",496624
"3539",2013-09-03,"Credit card","Other","Billing disputes","Other","Other","Other","Citibank","MD","20817","Other","Other","Web",2013-09-03,"Closed with monetary relief","Yes","No",512689
"3540",2013-09-03,"Bank account or service","Other bank product/service","Making/receiving payments, sending money","Other","Other","Other","The Western Union Company","TX","76131","Other","Other","Web",2013-09-04,"Closed with explanation","Yes","No",511718
"3541",2013-08-20,"Mortgage","Conventional adjustable mortgage (ARM)","Loan modification,collection,foreclosure","Other","Other","Other","Residential Credit Solutions","MD","21222","Other","Other","Phone",2013-08-22,"Closed with explanation","Yes","Yes",497823
"3542",2013-08-20,"Credit card","Other","Credit determination","Other","Other","Other","Wells Fargo & Company","MD","20814","Other","Other","Web",2013-08-20,"Closed with explanation","Yes","No",497335
"3543",2013-09-03,"Consumer Loan","Vehicle loan","Problems when you are unable to pay","Other","Other","Other","Navy FCU","Other","Other","Other","Other","Referral",2013-09-09,"Closed with explanation","Yes","No",512588
"3544",2013-09-09,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Wells Fargo & Company","CA","92376","Other","Other","Referral",2013-09-10,"Closed with explanation","Yes","No",520468
"3545",2013-09-03,"Credit reporting","Other","Incorrect information on credit report","Personal information","Other","Other","Equifax","FL","33029","Other","Other","Referral",2013-09-04,"Closed with non-monetary relief","Yes","No",512733
"3546",2013-08-20,"Mortgage","Home equity loan or line of credit","Loan servicing, payments, escrow account","Other","Other","Other","Bank of America","WI","53015","Older American","Other","Web",2013-08-21,"Closed with explanation","Yes","No",497340
"3547",2013-09-03,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","JPMorgan Chase & Co.","FL","32327","Other","Other","Referral",2013-09-05,"Closed with explanation","Yes","No",512890
"3548",2013-09-03,"Bank account or service","Checking account","Account opening, closing, or management","Other","Other","Other","Bank of America","CO","80911","Older American, Servicemember","Other","Fax",2013-09-06,"Closed with explanation","Yes","No",512719
"3549",2013-09-09,"Bank account or service","Checking account","Account opening, closing, or management","Other","Other","Other","PNC Bank N.A.","MI","49046","Other","Other","Web",2013-09-10,"Closed with explanation","Yes","No",520439
"3550",2013-09-19,"Mortgage","Other mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Ocwen","OH","44149","Other","Other","Referral",2013-09-23,"Closed with explanation","Yes","No",535499
"3551",2013-09-19,"Bank account or service","Other bank product/service","Account opening, closing, or management","Other","Other","Other","Synchrony Financial","IN","47119","Older American","Other","Web",2013-09-20,"Closed with non-monetary relief","Yes","No",534469
"3552",2013-09-09,"Bank account or service","Checking account","Using a debit or ATM card","Other","Other","Other","Wells Fargo & Company","CA","93033","Other","Other","Phone",2013-09-10,"Closed with explanation","Yes","No",520445
"3553",2013-09-03,"Credit reporting","Other","Incorrect information on credit report","Account status","Other","Other","TransUnion Intermediate Holdings, Inc.","SC","29928","Servicemember","Other","Fax",2013-09-11,"Closed with explanation","Yes","Yes",512727
"3554",2013-09-09,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","FL","33486","Other","Other","Referral",2013-09-11,"Closed with non-monetary relief","Yes","No",520643
"3555",2013-09-03,"Bank account or service","Checking account","Problems caused by my funds being low","Other","Other","Other","Santander Bank US","NJ","7111","Other","Other","Phone",2013-09-05,"Closed","Yes","No",512748
"3556",2013-09-03,"Bank account or service","Checking account","Problems caused by my funds being low","Other","Other","Other","JPMorgan Chase & Co.","GA","31404","Other","Other","Phone",2013-09-05,"Closed with explanation","Yes","No",512755
"3557",2013-09-09,"Bank account or service","Checking account","Account opening, closing, or management","Other","Other","Other","Amex","KY","40601","Other","Other","Referral",2013-09-10,"Closed with monetary relief","Yes","No",520452
"3558",2013-09-19,"Bank account or service","(CD) Certificate of deposit","Account opening, closing, or management","Other","Other","Other","First National Bank of Omaha","TX","75670","Other","Other","Referral",2013-09-23,"Closed with explanation","Yes","No",535501
"3559",2013-08-20,"Mortgage","FHA mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","MO","60475","Other","Other","Web",2013-08-21,"Closed with explanation","Yes","No",497378
"3560",2013-09-19,"Debt collection","Credit card","Communication tactics","Frequent or repeated calls","Other","Other","CIR, Law Offices","CA","93291","Other","Other","Phone",2013-09-20,"Closed with explanation","Yes","No",534515
"3561",2013-09-03,"Credit reporting","Other","Unable to get credit report/credit score","Problem getting report or credit score","Other","Other","Equifax","IN","46032","Other","Other","Web",2013-09-03,"Closed with non-monetary relief","Yes","No",512788
"3562",2013-09-19,"Mortgage","Conventional adjustable mortgage (ARM)","Loan modification,collection,foreclosure","Other","Other","Other","Nationstar Mortgage","CA","95135","Other","Other","Web",2013-09-20,"Closed with explanation","Yes","Yes",534518
"3563",2013-09-09,"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","MA","1833","Other","Other","Web",2013-09-10,"Closed with explanation","Yes","No",519422
"3564",2013-09-09,"Debt collection","Other (i.e. phone, health club, etc.)","Cont'd attempts collect debt not owed","Debt is not mine","Other","Other","EOS Holdings, Inc.","CA","94503","Other","Other","Phone",2013-09-10,"Closed with explanation","Yes","No",520502
"3565",2013-09-09,"Credit card","Other","Other fee","Other","Other","Other","Citibank","MN","55110","Servicemember","Other","Phone",2013-10-02,"Closed with monetary relief","Yes","No",520392
"3566",2013-08-20,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","MD","20705","Other","Other","Postal mail",2013-08-21,"Closed with explanation","Yes","Yes",497395
"3567",2013-09-19,"Credit card","Other","Identity theft / Fraud / Embezzlement","Other","Other","Other","Citibank","VA","23111","Other","Other","Web",2013-09-19,"Closed with explanation","Yes","No",534531
"3568",2013-09-09,"Credit card","Other","Billing disputes","Other","Other","Other","Citibank","Other","Other","Other","Other","Phone",2013-09-10,"Closed with explanation","Yes","Yes",520522
"3569",2013-08-20,"Bank account or service","Checking account","Account opening, closing, or management","Other","Other","Other","Wells Fargo & Company","GA","30515","Servicemember","Other","Phone",2013-08-21,"Closed with explanation","Yes","No",497399
"3570",2013-09-19,"Credit reporting","Other","Incorrect information on credit report","Information is not mine","Other","Other","Experian","CT","6112","Other","Other","Postal mail",2013-09-23,"Closed with non-monetary relief","Yes","No",535145
"3571",2013-08-26,"Credit card","Other","Other fee","Other","Other","Other","Capital One","TN","38116","Other","Other","Web",2013-08-25,"Closed with explanation","Yes","No",508141
"3572",2013-09-03,"Mortgage","FHA mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Nationstar Mortgage","SC","29730","Other","Other","Phone",2013-09-04,"Closed with explanation","Yes","No",512828
"3573",2013-09-03,"Credit reporting","Other","Incorrect information on credit report","Account terms","Other","Other","TransUnion Intermediate Holdings, Inc.","PA","19124","Other","Other","Web",2013-09-03,"Closed with non-monetary relief","Yes","No",512829
"3574",2013-08-26,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Ocwen","FL","33496","Other","Other","Web",2013-08-27,"Closed with explanation","Yes","Yes",503824
"3575",2013-08-26,"Debt collection","Other (i.e. phone, health club, etc.)","Cont'd attempts collect debt not owed","Debt was paid","Other","Other","Virtuoso Sourcing Group, LLC.","IN","46350","Other","Other","Web",2013-08-25,"Closed with explanation","Yes","No",503825
"3576",2013-08-20,"Bank account or service","Savings account","Deposits and withdrawals","Other","Other","Other","Citizens Financial Group, Inc.","MA","2130","Older American","Other","Phone",2013-08-22,"Closed with explanation","Yes","No",497412
"3577",2013-09-09,"Debt collection","Other (i.e. phone, health club, etc.)","Cont'd attempts collect debt not owed","Debt is not mine","Other","Other","The CBE Group, Inc.","TX","77859","Older American","Other","Phone",2013-09-10,"Closed with non-monetary relief","Yes","No",520537
"3578",2013-09-03,"Consumer Loan","Vehicle loan","Managing the loan or lease","Other","Other","Other","GM Financial","KS","66083","Other","Other","Referral",2013-09-03,"Closed with explanation","Yes","Yes",512850
"3579",2013-09-19,"Debt collection","Other (i.e. phone, health club, etc.)","Disclosure verification of debt","Not given enough info to verify debt","Other","Other","Resurgent Capital Services L.P.","SC","29464","Other","Other","Referral",2013-09-20,"Closed with explanation","Yes","No",534574
"3580",2013-09-09,"Bank account or service","Checking account","Account opening, closing, or management","Other","Other","Other","Bank of America","AZ","85206","Older American","Other","Phone",2013-09-10,"Closed with explanation","Yes","No",520556
"3581",2013-08-26,"Mortgage","Conventional fixed mortgage","Application, originator, mortgage broker","Other","Other","Other","Capital One","MD","20746","Other","Other","Web",2013-08-26,"Closed with non-monetary relief","Yes","No",503833
"3582",2013-09-09,"Credit reporting","Other","Incorrect information on credit report","Information is not mine","Other","Other","TransUnion Intermediate Holdings, Inc.","IL","60445","Other","Other","Postal mail",2013-09-10,"Closed with explanation","Yes","No",519171
"3583",2013-09-03,"Credit reporting","Other","Incorrect information on credit report","Reinserted previously deleted info","Other","Other","Equifax","CA","91915","Other","Other","Web",2013-09-03,"Closed with non-monetary relief","Yes","No",512856
"3584",2013-08-20,"Credit reporting","Other","Credit reporting company's investigation","Investigation took too long","Other","Other","Equifax","FL","33966","Other","Other","Web",2013-08-20,"Closed with non-monetary relief","Yes","No",496661
"3585",2013-08-20,"Credit reporting","Other","Unable to get credit report/credit score","Problem getting report or credit score","Other","Other","Experian","ID","83712","Other","Other","Web",2013-08-20,"Closed with explanation","Yes","No",497362
"3586",2013-08-20,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Citibank","PR","739","Other","Other","Referral",2013-08-28,"Closed with explanation","Yes","No",498107
"3587",2013-08-26,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Citibank","MI","48006","Other","Other","Referral",2013-08-26,"Closed with explanation","Yes","No",503895
"3588",2013-09-03,"Bank account or service","Other bank product/service","Deposits and withdrawals","Other","Other","Other","PayPal Holdings, Inc.","NY","10306","Other","Other","Web",2013-10-07,"Closed with explanation","Yes","No",512861
"3589",2013-09-19,"Mortgage","FHA mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Nationstar Mortgage","SC","29229","Other","Other","Web",2013-09-20,"Closed with explanation","Yes","No",534590
"3590",2013-08-26,"Credit reporting","Other","Incorrect information on credit report","Account status","Other","Other","Experian","OH","43213","Other","Other","Web",2013-08-26,"Closed with non-monetary relief","Yes","Yes",503846
"3591",2013-08-26,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Wells Fargo & Company","FL","33413","Other","Other","Web",2013-08-29,"Closed with explanation","Yes","Yes",503852
"3592",2013-08-20,"Credit reporting","Other","Credit reporting company's investigation","No notice of investigation status/result","Other","Other","Experian","CO","80219","Other","Other","Web",2013-08-20,"Closed with explanation","Yes","No",497441
"3593",2013-09-03,"Credit reporting","Other","Incorrect information on credit report","Account status","Other","Other","Experian","CA","91915","Other","Other","Web",2013-09-03,"Closed with explanation","Yes","No",512858
"3594",2013-08-26,"Credit reporting","Other","Incorrect information on credit report","Account status","Other","Other","Experian","PA","15438","Other","Other","Web",2013-08-26,"Closed with explanation","Yes","No",503866
"3595",2013-09-09,"Debt collection","Other (i.e. phone, health club, etc.)","Communication tactics","Threatened to take legal action","Other","Other","P&B Capital Group, LLC","CA","95062","Other","Other","Web",2013-09-14,"Closed with explanation","Yes","No",520596
"3596",2013-09-09,"Credit card","Other","Other","Other","Other","Other","Bank of America","MN","55950","Other","Other","Web",2013-09-14,"Closed with explanation","Yes","No",520602
"3597",2013-09-09,"Bank account or service","Checking account","Deposits and withdrawals","Other","Other","Other","TD Bank US Holding Company","NC","28562","Other","Other","Phone",2013-09-10,"Closed with explanation","Yes","No",520606
