"","coupon_id","title","Description","Discount","MinimumSpendAmount","OfferApplicableOn","BrandsUnderOffer","Validfor","PaymentModeOffer","TermsAndConditions"
"91","10276-4-174144","Fantastic Kids Zone : Upto 50% Off on kidswear","Discover the super cool trending styles for your kids this season,  Trendin is offering you with super cool discounts and Exciting offers, Shop and get upto 50% off on landing page products, This offer is for limited period, Click to get the offer page, Hurry Up !!","and Exciting offers","","landing page products","50% off on landing","","",""
"92","10276-4-174510","Upto 50% Off on Peter England Men&#8217;s Store","Trendin End of Season Sale : Shop for the men s clothing from the house of Peter England, Shop now and get upto 50% off on your orders at Trendin, No coupon code required, Click to get the offer page.","now and get upto 50% off","","Sale : Shop for the men s clothing from the house of Peter England","50% off on your","","",""
"93","10276-4-176682","Flat 50% Off on Winter Wear","As the weather is getting cool its time to fill your wardrobe with these cool collection of winter, Shop now and get flat 50% off on both Men and Women collections, No coupon code required, Click to get the offer page.","now and get flat 50% off","","of winter","fill your wardrobe with","","",""
"94","10276-4-176936","Minimum 30% Off on Top Wear","Branded Top wear on sale : Shop for the top wear from the various top brands like Van Heusen, V Dot, Louis Phillipe, Allen solly and more, Shop now and get minimum 30% off on the landing page products, Click to get the offer page.","now and get minimum 30% off","","sale : Shop for the top wear from the various top brands like Van Heusen V Dot Louis Phillipe Allen solly and more"," Van Heusen V Dot Louis Phillipe Allen solly and more","","",""
"95","10276-4-178681","All Products Under Rs.399","This offer valid on landing  page products only, Choose from Top Brands like LP jeans, V Dot, People, Van Hussen, Peter England and more.No coupon code required to active this offer.click here to get offer page.","active this offer.click here","","landing  page products only Choose from Top Brands like LP jeans V Dot People Van Hussen Peter England and more.No coup"," LP jeans V Dot People Van Hussen Peter England and more.No coupon code required to active this offer.click here to get offer page.","valid on landing  page products only Choose","",""
"96","10276-4-179289","Extra 15% Cashback on Mobikwik Wallets","Get extra 15% Cashback when you pay through Mobikwik Wallet, You can avail Maximum cashback Rs.150, Choose from your favourite categories like Clothing, Footwear, Accessories and more, No coupon code required.","Get extra 15% Cashback when you","Rs. 150",""," Clothing Footwear Accessories and more","","",""
"97","10276-4-179848","Minimum 30% Off on Allen Solly & Van Heusen Collection","Shop and get Minimum 30% Off on Allen Solly & Van Heusen Products like  Handbags, Wallets, Dresses, Shoes, Jeans, Pants and more, No coupon code required.","","","Allen Solly & Van Heusen Products like  Handbags Wallets Dresses Shoes Jeans Pants and more","  Handbags Wallets Dresses Shoes Jeans Pants and more","","",""
"98","10276-4-183408","Navaratri Sale : Upto 50% Off on Products","This  offer applicable on fashion accessories of men and women, categories like Men and women clothing s, Footwear, wallets and extra accessories are available at here, No promo code required to activate this offer.","activate this offer.","","fashi"," Men and women clothing s Footwear wallets and extra accessories are available at here","","",""
"99","10276-4-186099","Great Discounts on Men Clothing & Footwear","Trendin offers the widest range of teacher s day gifts on occasion of teacher s day so that you can buy gifts for your favourite teacher, No coupon code required, Click the link to get landing page.","get landing page.","","occasi","get landing page.","","",""
"100","10276-4-186492","Upto 40% Off On Women Clothing","Celebrate This Auspicious Janmashtami festival with Trendin and get upto 40% off, choose from various categories like Shorts, Curtis, Dresses, Tops and more, No coupon code required.","40% off choose from","","get upto 40% off choose from"," Shorts Curtis Dresses Tops and more","","",""
"101","10276-4-189213","Shubh Navratri Sale: Upto 50% Off On Clothing","Celebrate this Navratri with great offers on Great looking clothes for both Men and Women, Get upto 50% off on clothing, Choose from various categories like Shirts, T-Shirts, Trousers and more, No coupon code required, Click to get this offer page.","50% off on clothing","","Great looking clothes for both Men and Women"," Shirts T-Shirts Trousers and more No coupon code required","","",""
"102","10276-4-190281","Desi Tadka : Upto 40% Off on Women&#8217;s Fashion Clothing","Shop and get upto 50% Off on Women s Fashion Clothing, Choose from various categories like Tops, Shorts, Dresses, Jeans and jeggings, Trousers and more, No coupon code required, Click the link to get landing page.","50% Off on Women","","Women s Fashi"," Tops Shorts Dresses Jeans and jeggings Trousers and more","","",""
"103","10276-4-190291","Upto 50% Off on Printed Clothing","Upto 50% Off on Printed Clothing, Choose from various categories like Dresses, Tops, T-Shirts, Jeans, Jeggings, Shorts and more, No coupon code required, Click the link to get landing page.","Up 50% Off on Printed Clothing","","Printed Clothing Choose from various categories like Dresses Tops T-Shirts Jeans Jeggings Shorts and more"," Dresses Tops T-Shirts Jeans Jeggings Shorts and more","","",""
"104","10276-4-191029","Ethnic Store Starts  at  Rs.320","Choosing ethnic apparel that suits your style is the key to looking your ethnic best, Choose from an attractive range of ethnic outfits in a number of patterns, colours, Convention is the mother of style and this vast range of ethnic wear will leave you spoilt for choice.","looking your ethnic best","","","looking your ethnic best","","",""
"105","10276-4-193365","Upto 70% Off on Clothing & Footwear","Shop and get Upto 70% Off on Clothing, Choose from various categories like Dresses, Tops, T-Shirts, Jeans, Jeggings, Shorts and more, No coupon code required, Click the link to get landing page.","Up 70% Off on Clothing Choose","","Clothing Choose from various categories like Dresses Tops T-Shirts Jeans Jeggings Shorts and more"," Dresses Tops T-Shirts Jeans Jeggings Shorts and more","","",""
"106","10276-4-194486","Extra 25% Cashback on using Payumoney","Shop and get extra 25% Cashback on pay using Payumoney, maximum cashback of Rs.250, No coupon code required, click the link to get landing page.","get landing page.","Rs. 250 No coupon code required","pay using Payumoney","get landing page.","","",""
"107","10276-4-196808","Pantaloon Kids Wear Sale: Amazing Styles Below Rs.499","Fashion is our passion, so why should our little ones be any different, Set them on the path towards discovering their personal style with this edit of kidswear from our top brands, Your stylish darling will always be ready for adorable instagram pictures.","discovering their personal style","","is our passion so why should our little ones be any different","discovering their personal style","","",""
"108","10276-4-198863","Pantaloons Offer : Flat 20% off on Apparels","Pantaloons Offer : Flat 20% off on Apparels for men & women like shirts, trousers, dresses, tees & tops, footwear, jeans, bottoms & leggings etc, No need to use any coupon codes, click to get the landing page.","Flat 20% off on Apparels for","","Apparels for men & women like shirts trousers dresses tees & tops footwear jeans bottoms & leggings etc"," shirts trousers dresses tees & tops footwear jeans bottoms & leggings etc","","","No need to use any coupon codes"
"109","10276-4-69579","Women Jeans & Jeggings Starts  at  Rs.780","Shop for the Jeans and Jeggings from the various top brands like PEOPLE, Allen Solly, Van Heusen and many more starting from just Rs.780, No need to use coupon code, Click to get the offer page.","brands like PEOPLE Allen","Rs. 780","get the offer page."," PEOPLE Allen Solly Van Heusen and many more starting from just Rs.780","","","No need to use coupon code"
"110","10276-4-69582","Women Shorts & Capris Starts  at  Rs.400","Shop for the trendy and stylish Women Shorts and Capris here at trendin starting from just Rs.400, This offer is valid on top brands like Allen Solly & PEOPLE, No need to use coupon code, Click to get the offer page.","brands like Allen Solly","Rs. 400","top brands like Allen Solly & PEOPLE"," Allen Solly & PEOPLE","valid on top brands like Allen","","No need to use coupon code"
"111","10293-3-11805","Flat Rs 100 OFF On Selected Painting T-shirts","Get flat Rs 100 off on selected tees in the listing page, Use the above Code at cart page to Avail the discount, Buy now!","now","Rs. 100 off on selected tees","selected tees in the listing page","Avail the discount","","Use the above Code at cart",""
"112","10293-3-11833","3 T-shirts For Rs 999","Buy any 3 t-shirts for Rs 999 only, Valid on tees price more than Rs 449 only, Pay Online and get extra 15% Off, Valid on selected products only","","Rs. 999 only","tees price more than Rs 449 only","","","",""
"113","10293-3-14879","Flat 35% OFF On Orders Of Rs 1250 & Above","Freecultr is Offering Site Wide Exclusive Deal as Get Extra 35% OFF on Purchase of Rs 1250 or More by Using the above given Code, Buy here for Handpicked T-Shirts, Photography T-Shirts, Trending T-Shirts and so on","T-Shirts Trending T-Shirts and","Rs. 1250 or More by Using","Purchase of Rs 1250 or More by Using the above given Code","T-Shirts Trending T-Shirts and","","Using the above given",""
"114","10293-3-14881","Site Wide: Get Rs 500 OFF on Rs 1299 and above","Freecultr is Offering Flat Rs 500 OFF on Rs 1299 and above by Using the above code, Buy the latest fashion right from your home with Freecultr, They have clothing and Footwear from top fashion brands and style icons.Buy Now ","Flat Rs 500 OFF on Rs","Rs. 500 OFF on","Rs 1299 and above by Using the above code","fashion brands and style","","Using the above code",""
